Time,WindDirection,WindSpeed,Humidity,Temperature,RainInchesPerMinute,CumulativeRainfall,PressureHg,PowerLevel,LightIntensity
25-Oct-2021 00:00:09,46,1,84,49.2,0,0,29.96,4.14,0
25-Oct-2021 00:01:09,45,1.6,84,49.2,0,0,29.96,4.139,0
25-Oct-2021 00:02:09,36,2.2,84,49.2,0,0,29.96,4.138,0
25-Oct-2021 00:03:09,46,2.5,84,49.2,0,0,29.96,4.139,0
25-Oct-2021 00:04:09,23,2.1,84,49,0,0,29.95,4.131,0
25-Oct-2021 00:05:09,38,1.7,84,49,0,0,29.95,4.082,0
25-Oct-2021 00:06:09,46,1.4,84,49,0,0,29.95,4.078,0
25-Oct-2021 00:07:09,37,1.9,84,49,0,0,29.95,4.07,0
25-Oct-2021 00:08:09,34,2.3,84,49,0,0,29.95,4.072,0
25-Oct-2021 00:09:09,44,1.8,84,49,0,0,29.95,4.071,0
25-Oct-2021 00:10:09,45,1,84,49,0,0,29.95,4.073,0
25-Oct-2021 00:11:09,46,0.8,85,49,0,0,29.95,4.068,0
25-Oct-2021 00:12:09,46,1.6,85,49,0,0,29.95,4.068,0
25-Oct-2021 00:13:09,0,1.6,85,49,0,0,29.95,4.064,0
25-Oct-2021 00:14:09,0,0.7,85,49,0,0,29.95,4.064,0
25-Oct-2021 00:15:09,46,0.8,85,49.2,0,0,29.95,4.064,0
25-Oct-2021 00:16:09,57,0.4,85,49.2,0,0,29.96,4.084,0
25-Oct-2021 00:17:09,46,0.1,85,49.2,0,0,29.96,4.138,0
25-Oct-2021 00:18:09,47,0.5,85,49.2,0,0,29.96,4.138,0
25-Oct-2021 00:19:09,46,0.4,85,49.2,0,0,29.96,4.137,0
25-Oct-2021 00:20:09,70,0.4,85,49.2,0,0,29.96,4.138,0
25-Oct-2021 00:21:09,69,0.6,85,49.2,0,0,29.96,4.139,0
25-Oct-2021 00:22:09,47,0.5,85,49.2,0,0,29.96,4.138,0
25-Oct-2021 00:23:09,46,0.5,85,49.2,0,0,29.96,4.118,0
25-Oct-2021 00:24:09,80,0.7,85,49.2,0,0,29.96,4.078,0
25-Oct-2021 00:25:09,68,0,85,49.2,0,0,29.96,4.075,0
25-Oct-2021 00:26:09,74,0,85,49.2,0,0,29.96,4.073,0
25-Oct-2021 00:27:09,60,0.2,85,49.2,0,0,29.97,4.073,0
25-Oct-2021 00:28:09,54,0.6,85,49.2,0,0,29.97,4.069,0
25-Oct-2021 00:29:09,46,0,85,49.2,0,0,29.97,4.069,0
25-Oct-2021 00:30:09,46,0,85,49.2,0,0,29.97,4.065,0
25-Oct-2021 00:31:09,54,0.2,85,49.2,0,0,29.97,4.068,0
25-Oct-2021 00:32:09,56,1.2,85,49.2,0,0,29.97,4.137,0
25-Oct-2021 00:33:09,44,0.7,85,49.2,0,0,29.97,4.138,0
25-Oct-2021 00:34:09,46,0.8,85,49.2,0,0,29.97,4.138,0
25-Oct-2021 00:35:09,42,1.2,85,49.2,0,0,29.97,4.139,0
25-Oct-2021 00:36:09,46,1,85,49.4,0,0,29.97,4.139,0
25-Oct-2021 00:37:09,44,1,85,49.4,0,0,29.97,4.104,0
25-Oct-2021 00:38:09,45,1,85,49.4,0,0,29.97,4.079,0
25-Oct-2021 00:39:09,44,0.9,86,49.4,0,0,29.97,4.076,0
25-Oct-2021 00:40:09,46,0.9,86,49.4,0,0,29.97,4.074,0
25-Oct-2021 00:41:09,43,1,86,49.4,0,0,29.97,4.075,0
25-Oct-2021 00:42:09,41,1.2,86,49.4,0,0,29.97,4.071,0
25-Oct-2021 00:43:09,0,1.4,86,49.2,0,0,29.97,4.072,0
25-Oct-2021 00:44:09,46,1.3,86,49.2,0,0,29.97,4.069,0
25-Oct-2021 00:45:09,0,1.5,86,49.2,0,0,29.97,4.068,0
25-Oct-2021 00:46:09,0,1.4,86,49,0,0,29.97,4.071,0
25-Oct-2021 00:47:09,43,1.3,87,49,0,0,29.97,4.071,0
25-Oct-2021 00:48:09,41,1.5,87,49,0,0,29.97,4.072,0
25-Oct-2021 00:49:09,34,1.4,87,48.8,0,0,29.97,4.071,0
25-Oct-2021 00:50:09,0,1.5,87,48.8,0,0,29.97,4.068,0
25-Oct-2021 00:51:09,0,1.6,87,48.8,0,0,29.97,4.139,0
25-Oct-2021 00:52:09,0,1.6,87,48.6,0.011,0.011,29.97,4.14,0
25-Oct-2021 00:53:09,46,1.2,88,48.6,0,0.011,29.97,4.139,0
25-Oct-2021 00:54:09,0,1,88,48.5,0,0.011,29.97,4.139,0
25-Oct-2021 00:55:09,46,0.4,88,48.5,0,0.011,29.97,4.139,0
25-Oct-2021 00:56:09,45,0.2,88,48.3,0,0.011,29.97,4.139,0
25-Oct-2021 00:57:09,41,0.8,88,48.3,0,0.011,29.97,4.134,0
25-Oct-2021 00:58:09,46,0.5,88,48.3,0,0.011,29.97,4.079,0
25-Oct-2021 00:59:09,38,0.9,88,48.3,0,0.011,29.97,4.078,0
25-Oct-2021 01:00:09,0,0.4,88,48.3,0,0.011,29.97,4.074,0
25-Oct-2021 01:01:09,46,0.4,88,48.3,0,0.011,29.97,4.071,0
25-Oct-2021 01:02:09,46,0,88,48.3,0,0.011,29.97,4.068,0
25-Oct-2021 01:03:09,46,0,88,48.3,0,0.011,29.97,4.072,0
25-Oct-2021 01:04:09,34,0.3,88,48.3,0,0.011,29.97,4.069,0
25-Oct-2021 01:05:09,0,0.4,88,48.3,0,0.011,29.97,4.069,0
25-Oct-2021 01:06:09,0,0,88,48.3,0,0.011,29.97,4.07,0
25-Oct-2021 01:07:09,0,0,88,48.3,0,0.011,29.97,4.07,0
25-Oct-2021 01:08:09,46,0,88,48.3,0,0.011,29.97,4.072,0
25-Oct-2021 01:09:09,46,0,88,48.3,0,0.011,29.97,4.07,0
25-Oct-2021 01:10:09,46,0,88,48.5,0,0.011,29.97,4.103,0
